faceit_nickname,faceit_player_id,country,steam_id_64,cs2_skill_level,cs2_faceit_elo,Average K/D Ratio,ADR,Average Headshots %,Win Rate %,Matches,Total Matches,Wins,Recent Results,Current Win Streak,Longest Win Streak,Average K/R Ratio,Entry Success Rate,Entry Rate,Total Entry Count,Total Entry Wins,Utility Damage per Round,Utility Success Rate,Utility Usage per Round,Flash Success Rate,Flashes per Round,Enemies Flashed per Round,Total Utility Damage,Total Enemies Flashed,Total Flash Successes,Total Flash Count,1v1 Win Rate,1v2 Win Rate,Total 1v1 Count,Total 1v1 Wins,Total 1v2 Count,Total 1v2 Wins,Sniper Kill Rate,Sniper Kill Rate per Round,Total Sniper Kills,Total Damage,Total Rounds with extended stats,Total Kills with extended stats,faceit_round_swing_avg,faceit_round_swing_avg_t,faceit_round_swing_avg_ct,faceit_rating,faceit_rating_t,faceit_rating_ct,total_kills,avg_kills,total_deaths,avg_deaths,total_assists,avg_assists,avg_damage,avg_rws
P3S4D3L8,f9a6f8ee-6868-4b18-9a57-dacb738f7588,ch,76561198031750305,8,1564,1.48,78.7,23.5,100.0,2,2,2,1|1,2,2,0.77,0.125,0.125,5,1,3.44,0.54,0.325,0.415,0.435,0.26,130,10,7,17,0.0,0.5,0,0,2,1,0.035,0.025,1,3054,0,30,0.0335,0.0467,0.0191,1.3172,1.3241,1.1277,30,15.0,22,11.0,9,4.5,1527.0,13.9254
Wagnerzera,691111ea-e36a-450b-928a-daafb3ff6ec1,ru,76561198952041434,6,1224,0.94,71.68,39.5,48.8,125,125,61,1|0|0|1|1,2,6,0.65,0.4426,0.1636,463,209,6.01,0.3922,0.4379,0.4674,0.4313,0.2786,17688,814,568,1240,0.4348,0.2941,69,30,85,25,0.0827,0.0546,157,204081,0,1852,-0.0104,-0.0097,-0.0097,1.0573,1.0934,1.0976,1852,14.82,2085,16.68,639,5.11,1632.65,9.4082
AshFxLL,dd19c0cd-5d7d-4961-9a8d-1b9fb0715b05,br,76561198349563796,9,1921,0.94,78.33,34.67,33.33,3,3,1,1|0|0,0,1,0.72,0.2233,0.2233,17,5,5.75,0.3267,0.49,0.51,0.8633,0.69,406,50,31,64,0.5,1.0,2,1,1,1,0.05,0.0433,4,5796,0,54,-0.0078,0.0283,-0.0419,1.0757,1.1405,1.0119,54,18.0,56,18.67,19,6.33,1932.0,9.9903
-Eragonz-,344645a5-6be3-45f7-8d88-a1f0e7dc5a98,br,76561199020198204,10,2036,1.06,89.17,45.94,48.84,129,129,63,1|1|1|1|0,0,6,0.79,0.5112,0.2878,842,427,7.65,0.424,0.5515,0.5238,0.5871,0.4488,22353,1319,909,1731,0.4237,0.2157,59,25,51,11,0.0166,0.0122,36,260391,0,2301,0.0203,0.0111,0.0369,1.2387,1.1466,1.2186,2301,17.84,2248,17.43,892,6.91,2018.53,12.4529
dudaaaaaaaaa,cfd4e8ab-8b55-4e70-99d3-29aee35e9324,gd,76561198430586159,8,1732,1.08,84.9,60.48,48.57,105,105,51,0|1|0|1|0,0,6,0.8,0.5171,0.2569,593,314,4.12,0.3475,0.3253,0.439,0.2414,0.1538,9566,355,255,559,0.439,0.2292,41,18,48,11,0.0436,0.0353,95,198010,0,1872,-0.0015,-0.0062,0.003,1.1091,1.0945,1.1296,1872,17.83,1806,17.2,523,4.98,1885.81,10.503
Humildera,d7879b1e-6a76-4484-8265-2866c36679a4,pt,76561198858066994,10,2069,1.29,82.01,61.09,48.48,33,33,16,0|1|0|1|0,0,5,0.8,0.5218,0.1412,103,57,2.37,0.2736,0.2294,0.4624,0.6033,0.3827,1788,273,196,444,0.4074,0.4,27,11,25,10,0.0158,0.0103,7,59708,0,585,0.014,0.0301,-0.0032,1.2029,1.1769,1.1015,585,17.73,486,14.73,144,4.36,1809.33,10.2158
Jefao171,bf3b4d03-9d93-45ae-906f-4ea39ff3c16f,br,76561198121042356,8,1554,1.01,76.02,47.16,47.9,119,119,57,0|0|0|1|0,0,5,0.69,0.4487,0.166,427,209,8.35,0.4121,0.5367,0.5219,0.5224,0.4184,21859,1089,735,1393,0.3506,0.2292,77,27,96,22,0.0201,0.0124,33,198256,0,1782,-0.0106,-0.0018,-0.0186,1.0577,1.1233,1.0814,1782,14.97,1895,15.92,625,5.25,1666.02,8.884
leoobr,708beddb-899c-4553-9464-80f6734b9023,br,76561198107214392,10,2307,1.08,79.7,47.57,50.0,58,58,29,0|1|0|1|0,0,3,0.7,0.5103,0.1655,217,119,5.95,0.3684,0.3883,0.4709,0.619,0.4331,7570,559,392,790,0.4643,0.1731,28,13,52,9,0.0293,0.02,34,101614,0,901,0.0059,-0.0044,0.024,1.1522,1.1221,1.1854,901,15.53,877,15.12,363,6.26,1751.97,10.9014
Lpz1NNNN,c03727e7-04c7-4ba2-b234-31c70d44633a,br,76561199551678063,10,2097,1.03,83.44,42.31,54.1,61,61,33,0|0|1|1|1,3,4,0.73,0.4623,0.2679,374,174,4.63,0.2774,0.4702,0.4761,0.5964,0.433,6351,617,411,858,0.35,0.1111,20,7,36,4,0.0334,0.0284,40,118497,0,1039,0.0034,-0.0143,0.012,1.1375,1.0806,1.1585,1039,17.03,1080,17.7,385,6.31,1942.57,11.6139
Nilove2Bala,a86d2f09-9ac3-4c78-8cc5-b8705d8e5145,pt,76561198076565994,10,2248,0.65,63.6,36.0,0.0,1,1,0,0,0,0,0.55,0.5,0.1,2,1,5.3,0.57,0.35,0.6,0.25,0.25,106,5,3,5,0.0,0.0,1,0,1,0,0.09,0.05,1,1272,0,11,-0.0367,-0.0087,-0.0554,0.8896,1.1324,0.9782,11,11.0,17,17.0,5,5.0,1272.0,6.006
