Index,Match ID,Data,Hora,Mapa,Resultado,Placar,Kills,Deaths,Assists,K/D,K/R,Rating,HS%,ADR,Dano Total,Headshots,Total Rounds,ELO,ELO Delta,Regiao,Competicao,Game Mode
160,1-e9648409-93ea-45d2-9ec3-d6b6f2b69b2e,04/04/2026,23:05,de_anubis,Vitória,11 / 13,11,16,4,0.69,0.46,1.00,36,56.5,1356,4,24,2009,-20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
161,1-cb742d61-dee0-483e-bdff-e362a079f4f4,04/04/2026,17:26,de_anubis,Vitória,13 / 8,8,16,2,0.5,0.38,0.65,38,51.8,1088,3,21,2029,-16,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
162,1-b6458dc0-1ed9-4a26-89bf-e9257d74a88f,04/04/2026,14:13,de_anubis,Vitória,13 / 6,9,14,8,0.64,0.47,0.81,11,66.8,1269,1,19,2045,-20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
163,1-0d88ba1a-bf03-4783-8bb1-58c75ee03653,04/04/2026,01:35,de_inferno,Vitória,13 / 11,25,19,3,1.32,1.04,1.44,56,109.7,2632,14,24,2065,-19,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
164,1-e06a684f-650f-4a44-a381-70fc6ca28499,04/04/2026,00:42,de_dust2,Vitória,13 / 2,9,14,1,0.64,0.6,0.96,11,69.9,1049,1,15,2084,-21,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
165,1-b09714ad-6d69-4c70-96e3-2209b167b761,04/04/2026,00:00,de_overpass,Vitória,13 / 11,19,18,8,1.06,0.79,1.26,37,97.5,2339,7,24,2105,-22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
166,1-27502be8-a528-4946-8c7b-e2c82b75fbf6,02/04/2026,23:45,de_overpass,Vitória,13 / 11,22,18,7,1.22,0.92,1.12,36,91.3,2191,8,24,2127,22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
167,1-bb3a9ee8-2c53-43e2-bff1-103f0af8c3b0,02/04/2026,22:53,de_inferno,Vitória,10 / 13,17,16,6,1.06,0.74,1.08,18,90.5,2082,3,23,2105,-20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
168,1-be10e20a-0eec-4a83-9358-749c9ac79de7,02/04/2026,22:01,de_anubis,Vitória,13 / 7,16,13,7,1.23,0.8,1.36,44,88.4,1768,7,20,2125,19,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
169,1-364125cd-a737-40af-905e-d24da8d3efe3,02/04/2026,00:50,de_anubis,Vitória,13 / 8,20,14,5,1.43,0.95,1.30,40,89.6,1881,8,21,2106,14,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
170,1-f0e3a510-3c17-4fe1-9279-af1f93fccc98,02/04/2026,00:03,de_inferno,Vitória,8 / 13,16,13,6,1.23,0.76,0.81,50,86.9,1824,8,21,2092,-22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
171,1-cdffc20f-f880-4af2-a211-e73cf4b91a19,01/04/2026,00:24,de_anubis,Vitória,16 / 12,26,20,3,1.3,0.93,1.32,46,94.8,2654,12,28,2114,-25,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
172,1-fa227888-9fe1-4443-a4c3-e78ee03074b1,31/03/2026,23:26,de_inferno,Vitória,13 / 11,18,17,6,1.06,0.75,1.05,50,74.6,1790,9,24,2139,-19,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
173,1-9864daa7-314f-41a2-8399-556269208143,31/03/2026,22:33,de_anubis,Vitória,9 / 13,15,16,11,0.94,0.68,N/A,40,90.6,1993,6,22,2158,-23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
174,1-03030ee0-71e8-483a-b579-ec7c8abc2370,31/03/2026,21:48,de_anubis,Vitória,11 / 13,14,18,9,0.78,0.58,0.95,43,74.3,1783,6,24,2181,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
175,1-51abccd1-c4b4-4fd5-bb13-8d5c1fc433c2,31/03/2026,21:01,de_inferno,Vitória,5 / 13,18,10,5,1.8,1,1.50,33,111,1998,6,18,2158,22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
176,1-6d0719ba-5e09-4fee-89e5-1ac016d3ca1f,30/03/2026,00:51,de_mirage,Vitória,10 / 13,18,15,5,1.2,0.78,1.11,39,73.3,1686,7,23,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
177,1-d4a5c11c-4efb-4052-982c-649ab61f6204,29/03/2026,23:58,de_nuke,Vitória,9 / 13,13,17,6,0.76,0.59,0.99,31,79.5,1749,4,22,2112,-22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
178,1-e6dd25b3-7014-4a7d-bca4-d91eeeb906cb,29/03/2026,23:17,de_dust2,Vitória,13 / 1,5,12,6,0.42,0.36,0.58,40,60.1,842,2,14,2134,-22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
179,1-ec7359b4-97d0-4d3e-9093-f228e1a42a1c,29/03/2026,22:50,de_inferno,Vitória,13 / 5,13,10,6,1.3,0.72,1.40,38,84.7,1524,5,18,2156,22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
180,1-f9089c1e-653e-4787-9306-94f3df319f50,29/03/2026,22:12,de_train,Vitória,4 / 13,16,14,4,1.14,0.94,1.34,38,100.6,1711,6,17,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
181,1-3cb02625-ce0a-490c-bed9-433b57d2d577,29/03/2026,21:40,de_mirage,Vitória,10 / 13,15,19,7,0.79,0.65,1.22,33,81.7,1879,5,23,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
182,1-5943736a-fe9a-4d50-b84d-d86f2e106369,29/03/2026,00:51,de_inferno,Vitória,13 / 7,19,14,3,1.36,0.95,1.22,26,100.2,2003,5,20,2134,-19,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
183,1-407e8071-17b7-43ef-b735-f26d113f184e,28/03/2026,22:30,de_inferno,Vitória,13 / 4,13,14,4,0.93,0.76,0.99,62,85.1,1447,8,17,2153,-24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
184,1-7189db60-ce10-48b0-81ea-243280d3c825,28/03/2026,21:31,de_inferno,Vitória,10 / 13,14,13,5,1.08,0.61,1.11,36,60.6,1393,5,23,2177,22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
185,1-a0124454-932f-4a10-9569-746f6dee9bd2,28/03/2026,20:28,de_overpass,Vitória,13 / 4,18,8,1,2.25,1.06,1.42,44,107.6,1830,8,17,2155,22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
186,1-59b42724-fb86-4f40-b13b-a22d45bc459c,28/03/2026,19:57,de_anubis,Vitória,13 / 7,16,13,5,1.23,0.8,1.21,50,67.6,1353,8,20,2133,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
187,1-c2ee483a-8cb3-4095-ac9e-a6a1b7d34259,27/03/2026,00:30,de_overpass,Vitória,20 / 22,24,29,14,0.83,0.57,1.11,46,78.8,3311,11,42,2085,-24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
188,1-c118b305-9028-4759-a855-96ff22d61355,26/03/2026,00:07,de_anubis,Vitória,11 / 13,15,20,11,0.75,0.62,0.90,47,84.7,2033,7,24,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
189,1-b32c4610-91c9-45f1-baba-2ddbc3dc107e,25/03/2026,22:29,de_dust2,Vitória,7 / 13,10,17,8,0.59,0.5,0.58,40,56.8,1136,4,20,2109,-20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
190,1-9fe56443-c251-4a06-8adb-76996dd354d0,25/03/2026,21:52,de_overpass,Vitória,13 / 10,12,15,3,0.8,0.52,0.89,42,60.5,1392,5,23,2129,-19,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
191,1-cebd6b75-c7d3-4e06-a605-a4be7631510a,24/03/2026,23:34,de_mirage,Vitória,9 / 13,19,19,4,1,0.86,1.20,47,97.9,2154,9,22,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
192,1-f39fb67a-1557-441e-8f5a-5829edea48a1,24/03/2026,22:46,de_anubis,Vitória,8 / 13,13,16,9,0.81,0.62,1.15,38,75.6,1588,5,21,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
193,1-cbc5b0ab-1ce0-411a-91e8-97ba5c5ef22c,24/03/2026,21:58,de_overpass,Vitória,16 / 13,28,20,11,1.4,0.97,1.30,43,106,3075,12,29,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
194,1-8a08ce35-71b5-4717-ad48-2df8177e63f7,23/03/2026,23:24,de_dust2,Vitória,11 / 13,11,14,5,0.79,0.46,0.97,36,52,1248,4,24,2148,21,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
195,1-1cc7e4e1-cd71-4e76-905b-487b50921e5f,23/03/2026,22:35,de_anubis,Vitória,13 / 7,22,14,4,1.57,1.1,1.69,36,115.4,2307,8,20,2127,24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
196,1-c033a113-9dcd-4d26-864a-032bdcb02e1e,22/03/2026,01:36,de_mirage,Vitória,13 / 10,18,17,4,1.06,0.78,1.23,50,78,1793,9,23,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
197,1-ee8a1c1e-4cf8-444d-9fca-f0a110da747d,22/03/2026,00:44,de_overpass,Vitória,19 / 16,24,29,6,0.83,0.69,0.97,38,66.9,2343,9,35,2103,20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
198,1-d6e81a02-8830-4dbc-a539-f2b514e942d7,21/03/2026,23:34,de_dust2,Vitória,13 / 9,16,16,8,1,0.73,1.04,31,83.7,1842,5,22,2083,21,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
199,1-a2db1482-8e5a-4a24-ad83-124f3e688f57,21/03/2026,22:53,de_anubis,Vitória,10 / 13,20,15,5,1.33,0.87,1.52,35,96.4,2217,7,23,2062,-20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
200,1-120f18ab-2923-45e3-ae06-8b6db72d4225,21/03/2026,00:40,de_anubis,Vitória,13 / 10,32,16,10,2,1.39,1.63,41,135.2,3109,13,23,2082,20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
201,1-7ead1697-0846-41ee-bc0c-28a7c215586c,20/03/2026,23:57,de_nuke,Vitória,13 / 9,14,17,2,0.82,0.64,1.00,21,68.1,1499,3,22,2062,-20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
202,1-ab500dd8-864f-4977-a3b0-cff1332193e9,20/03/2026,23:15,de_inferno,Vitória,10 / 13,16,15,8,1.07,0.7,1.31,62,77.9,1791,10,23,2082,21,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
203,1-7317cfa0-0d3d-478d-b206-934d5a4de7b7,20/03/2026,22:18,de_anubis,Vitória,13 / 11,16,19,6,0.84,0.67,0.97,38,82.5,1979,6,24,2061,-21,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
204,1-1b1242dd-d1c7-4b51-96d9-9805fc5304ef,20/03/2026,19:59,de_inferno,Vitória,4 / 13,12,11,1,1.09,0.71,1.27,42,61.4,1043,5,17,2082,20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
205,1-562dcf83-2a46-4048-bd30-f88d8280b8d1,20/03/2026,15:51,de_anubis,Vitória,16 / 12,16,22,7,0.73,0.57,N/A,50,63.8,1787,8,28,2062,-19,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
206,1-4edc8184-442d-4597-b341-105365610fe2,20/03/2026,14:36,de_overpass,Vitória,13 / 11,16,15,7,1.07,0.67,1.20,56,64.8,1555,9,24,2081,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
207,1-1d4ec49f-2c56-48c5-a2a3-64e64d436177,19/03/2026,23:45,de_anubis,Vitória,16 / 13,23,24,6,0.96,0.79,1.19,30,82,2379,7,29,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
208,1-8fc8c573-ef9d-45e5-ace8-cdae52b2e1a6,19/03/2026,22:40,de_nuke,Vitória,5 / 13,10,14,2,0.71,0.56,0.69,50,68.3,1229,5,18,2035,-21,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
209,1-422526e4-2c67-46fb-af8f-4c0c2db96f3f,19/03/2026,22:01,de_anubis,Vitória,13 / 10,19,14,8,1.36,0.83,1.29,37,84.8,1950,7,23,2056,22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
210,1-7d0a9cbb-f716-4d4e-874a-2b360b28f35e,19/03/2026,19:48,de_dust2,Vitória,5 / 13,8,14,5,0.57,0.44,0.76,62,53.1,955,5,18,2034,-24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
211,1-12349f71-982a-423c-91df-957635a664b4,19/03/2026,16:57,de_mirage,Vitória,13 / 10,11,15,0,0.73,0.48,0.96,36,49,1128,4,23,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
212,1-56b4c276-08c3-4f50-902c-79139f30f71c,19/03/2026,16:14,de_inferno,Vitória,13 / 11,16,16,5,1,0.67,1.13,12,64.4,1545,2,24,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
213,1-db1f33e8-418e-420e-adb6-21a0def7edea,18/03/2026,23:20,de_nuke,Vitória,13 / 6,10,13,10,0.77,0.53,1.07,10,76.3,1449,1,19,2058,13,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
214,1-8e630c0c-7431-4da0-bb85-b7b06c221ed2,18/03/2026,22:39,de_overpass,Vitória,10 / 13,18,14,6,1.29,0.78,1.26,17,72.7,1673,3,23,2045,13,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
215,1-2d2e8459-7b8d-43b4-88b9-3f5835a6a2d3,18/03/2026,21:50,de_nuke,Vitória,13 / 6,13,12,4,1.08,0.68,1.05,38,81.5,1549,5,19,2032,12,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
216,1-53a38f3c-28fc-45a1-985e-7b7927fdb100,17/03/2026,22:30,de_nuke,Vitória,13 / 11,16,20,9,0.8,0.67,1.19,44,86.8,2082,7,24,2020,26,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
217,1-24d109e8-1ff0-4af7-866b-b6913c7e51c8,17/03/2026,21:44,de_anubis,Vitória,13 / 8,15,13,7,1.15,0.71,1.12,33,70.4,1479,5,21,1994,26,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
218,1-101466a6-a281-4d8c-99c7-d74cfda16c5a,17/03/2026,20:57,de_inferno,Vitória,13 / 5,10,13,5,0.77,0.56,0.76,20,76.7,1381,2,18,1968,-25,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
219,1-d816126e-86a7-4e40-8679-1339a8946983,17/03/2026,00:20,de_anubis,Vitória,16 / 13,24,24,8,1,0.83,1.25,25,93.5,2712,6,29,1993,-15,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
220,1-cb7debaf-14be-4714-97f3-009d9dcd383f,16/03/2026,23:26,de_inferno,Vitória,13 / 3,14,13,1,1.08,0.88,1.24,43,88.9,1423,6,16,2008,-17,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
221,1-652365bb-f063-4b17-a88a-7f076a72d465,16/03/2026,17:18,de_inferno,Vitória,11 / 13,12,17,4,0.71,0.5,1.07,33,51.2,1228,4,24,2025,24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
222,1-43da7e22-0271-4d34-903d-57b2734541a6,15/03/2026,22:00,de_inferno,Vitória,3 / 13,6,14,2,0.43,0.38,0.76,17,47.5,760,1,16,2001,-21,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
223,1-9a9920bb-153c-45d3-b8b5-73194111cae5,15/03/2026,21:13,de_mirage,Vitória,10 / 13,12,18,5,0.67,0.52,0.85,17,58.6,1347,2,23,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
224,1-ccfab0ed-444e-4e37-8aae-8f68d059d315,14/03/2026,14:59,de_mirage,Vitória,11 / 13,11,16,7,0.69,0.46,1.01,27,57.9,1390,3,24,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
225,1-c265ca8e-48f9-47d9-ba6d-734125374b79,13/03/2026,21:30,de_inferno,Vitória,13 / 10,19,17,4,1.12,0.83,0.81,21,73,1679,4,23,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
226,1-4fc54b55-503a-4b78-b6f1-221348c0c563,12/03/2026,21:27,de_anubis,Vitória,13 / 8,18,18,5,1,0.86,1.05,28,96.9,2035,5,21,2022,-20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
227,1-62e418ad-9543-48fd-8b88-c034ad3f7935,12/03/2026,00:14,de_nuke,Vitória,5 / 13,21,11,5,1.91,1.17,N/A,24,101.4,1825,5,18,2042,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
228,1-5379c4e9-73a6-42e7-a8c4-ce2e0b31771a,11/03/2026,23:25,de_mirage,Vitória,5 / 13,14,17,2,0.82,0.78,0.77,29,71.2,1281,4,18,2019,-22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
229,1-b3b3d8ed-7bc9-45e4-8916-59f18712edb1,10/03/2026,20:31,de_overpass,Vitória,13 / 8,19,13,3,1.46,0.9,N/A,32,91.8,1928,6,21,2041,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
230,1-7544d7c8-7d5c-46f5-b039-912370501e0f,09/03/2026,23:29,de_inferno,Vitória,13 / 8,10,14,3,0.71,0.48,N/A,50,57.1,1200,5,21,2018,22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
231,1-49108b65-803e-4e6a-8706-faa1b2a82e9a,09/03/2026,20:55,usp_containment,Vitória,13 / 4,5,15,2,0.33,0.29,N/A,100,41.1,698,5,17,,,EU,d8628f20-1f44-46a5-ab34-d865eac2915a,2v2
232,1-919686ae-dcfa-4b5a-88b6-52f8d7f77203,09/03/2026,20:42,usp_containment,Vitória,13 / 6,17,10,1,1.7,0.89,N/A,100,98.7,1876,17,19,,,EU,d8628f20-1f44-46a5-ab34-d865eac2915a,2v2
233,1-1c779411-cf9c-4967-b7f8-a01ff39c0c34,09/03/2026,20:33,usp_containment,Vitória,13 / 7,18,13,1,1.38,0.9,N/A,94,91.6,1832,17,20,,,EU,d8628f20-1f44-46a5-ab34-d865eac2915a,2v2
234,1-bb5000f6-9a56-44d0-b0e2-a040590991cb,09/03/2026,20:16,usp_containment,Vitória,13 / 5,14,7,2,2,0.78,N/A,93,82.7,1489,13,18,,,EU,d8628f20-1f44-46a5-ab34-d865eac2915a,2v2
235,1-3099ed56-3404-4948-8c69-f5e38bf3f756,08/03/2026,23:20,de_anubis,Vitória,13 / 11,14,14,2,1,0.58,N/A,21,55,1319,3,24,1996,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
236,1-6e59b10f-71f6-4512-a967-193484b56ac3,08/03/2026,22:34,de_anubis,Vitória,14 / 16,24,23,7,1.04,0.8,N/A,46,72.4,2172,11,30,1973,24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
237,1-c5284562-3294-44a4-adaa-e88d339cee98,08/03/2026,20:03,de_overpass,Vitória,13 / 7,19,15,5,1.27,0.95,N/A,37,104.4,2088,7,20,,,EU,9f980704-9315-4295-b3da-b99e02c3a572,5v5
238,1-3f2b7194-0d1f-4ee4-9ede-ef292c7eb32b,08/03/2026,00:03,de_nuke,Vitória,16 / 14,24,20,7,1.2,0.8,N/A,42,88.8,2665,10,30,1949,-23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
239,1-14e913f0-ee22-4c8c-b6a7-9558b074fdd5,07/03/2026,23:04,de_inferno,Vitória,16 / 14,26,20,6,1.3,0.87,N/A,35,89.9,2696,9,30,1972,26,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
240,1-39856d0b-b321-4e6a-b7fa-45ea1a2426fd,07/03/2026,21:49,de_anubis,Vitória,13 / 16,18,18,6,1,0.62,N/A,28,74,2145,5,29,1946,-24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
241,1-23006703-d337-4d3d-b27f-70a9a5969651,05/03/2026,23:48,de_inferno,Vitória,16 / 13,21,22,8,0.95,0.72,N/A,14,77.3,2242,3,29,1970,25,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
242,1-dad5c97a-6631-49f6-91e7-3d4259187328,05/03/2026,21:54,de_inferno,Vitória,13 / 7,11,17,6,0.65,0.55,N/A,0,61.4,1229,0,20,1945,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
243,1-e00719c0-fd90-4c32-8714-48ab9078fe63,05/03/2026,21:07,de_mirage,Vitória,13 / 7,11,15,2,0.73,0.55,N/A,36,52.7,1054,4,20,1922,-24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
244,1-435d9354-11af-473d-8504-5e4bfc4a51d1,04/03/2026,23:19,de_inferno,Vitória,16 / 14,22,18,9,1.22,0.73,N/A,23,77.2,2316,5,30,1946,26,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
245,1-b3f664d7-9837-4f0b-ae7b-42960c79971a,04/03/2026,22:13,de_dust2,Vitória,19 / 17,22,25,7,0.88,0.61,N/A,41,70.1,2523,9,36,1920,26,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
246,1-dd0a201b-31ec-4879-9af9-9acfbc2e6293,03/03/2026,21:36,de_inferno,Vitória,13 / 4,14,9,5,1.56,0.82,N/A,43,89.9,1529,6,17,1894,26,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
247,1-7bbbf363-0e29-488b-a149-2ff24a1cf48f,03/03/2026,18:28,de_inferno,Vitória,13 / 11,10,13,6,0.77,0.42,N/A,30,54.5,1309,3,24,1868,-25,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
248,1-33b449bc-7743-46c2-ae9d-742d5812257c,03/03/2026,17:34,de_overpass,Vitória,11 / 13,24,15,3,1.6,1,N/A,29,97.1,2330,7,24,1893,28,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
249,1-a9bf2137-5c2a-4392-aa0f-3beb857bb8e6,03/03/2026,16:41,de_overpass,Vitória,13 / 6,14,12,4,1.17,0.74,N/A,43,84.7,1609,6,19,1865,25,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
250,1-2f001d9d-88c8-4bc9-bacf-8a4167d9937b,03/03/2026,16:01,de_anubis,Vitória,13 / 5,12,11,6,1.09,0.67,N/A,25,65,1170,3,18,1840,25,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
