Index,Match ID,Data,Hora,Mapa,Resultado,Placar,Kills,Deaths,Assists,K/D,K/R,Rating,HS%,ADR,Dano Total,Headshots,Total Rounds,ELO,ELO Delta,Regiao,Competicao,Game Mode
148,1-c3493d10-d20c-40a2-b4c5-95436b772e22,09/04/2026,01:07,de_overpass,Vitória,5 / 13,14,9,4,1.56,0.78,1.38,29,82.4,1484,4,18,2083,14,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
149,1-15c4410a-aa6f-4760-b67f-cf8c44f10a2e,09/04/2026,00:00,de_nuke,Vitória,22 / 19,33,29,10,1.14,0.8,N/A,42,84,3445,14,41,2069,-24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
150,1-c508e85b-89d7-4d44-a572-6ac0683ea21b,08/04/2026,01:15,de_inferno,Vitória,11 / 13,23,18,8,1.28,0.96,1.30,35,94.5,2268,8,24,2093,-24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
151,1-9c298a86-1f37-4486-a4a4-dcba6972d4b0,08/04/2026,00:16,de_inferno,Vitória,13 / 10,15,17,8,0.88,0.65,1.12,47,64.2,1477,7,23,2117,18,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
152,1-cf564a53-3715-49f2-bdfe-ce56a1fea824,06/04/2026,22:38,de_overpass,Vitória,8 / 13,10,14,2,0.71,0.48,0.84,20,48.9,1027,2,21,2099,-19,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
153,1-87f92bc4-78ff-4e93-877a-25507bf69c6f,06/04/2026,00:41,de_inferno,Vitória,10 / 13,14,16,7,0.88,0.61,1.05,36,68.3,1570,5,23,2118,19,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
154,1-71fb88cf-8f77-4db6-97c9-7b29f33ae40a,05/04/2026,23:55,de_inferno,Vitória,16 / 14,20,17,5,1.18,0.67,1.14,40,81.7,2450,8,30,2099,20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
155,1-03a56c3c-fd57-4fa3-8166-7b7594529a96,05/04/2026,22:38,de_inferno,Vitória,13 / 8,15,15,10,1,0.71,1.32,33,93,1953,5,21,2079,20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
156,1-075762a2-010d-443f-94e4-9a6fe1dea3cc,05/04/2026,02:06,de_anubis,Vitória,7 / 13,13,13,6,1,0.65,1.22,46,81.8,1636,6,20,2059,21,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
157,1-ecc93b9d-5cf6-4ae3-97dd-eab309415374,05/04/2026,01:07,de_anubis,Vitória,10 / 13,15,19,6,0.79,0.65,1.15,60,77.2,1775,9,23,2038,22,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
158,1-dfcbf7a2-d2fe-4d5a-a0da-c6175882305a,05/04/2026,00:21,de_nuke,Vitória,8 / 13,24,12,5,2,1.14,1.27,25,93.2,1957,6,21,2016,27,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
159,1-dbedd724-2e26-4674-91f6-6a9090b0354c,04/04/2026,23:43,de_anubis,Vitória,13 / 6,8,15,2,0.53,0.42,0.70,38,54.4,1034,3,19,1989,-20,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
