faceit_nickname_input,faceit_nickname_official,faceit_player_id,country,steam_id_64,steam_nickname,cs2_skill_level,cs2_faceit_elo,cs2_game_player_id,cs2_game_player_name,avatar,faceit_url,activated_at,highest_lifetime_faceit_level,lifetime_faceit_matches,highest_lifetime_faceit_elo,faceit_tracker_highest_elo,peak_elo_source,peak_elo_updated_at,peak_elo_url_nickname
AshFxLL,AshFxLL,dd19c0cd-5d7d-4961-9a8d-1b9fb0715b05,br,76561198349563796,AshFall CSGetto.com,9,1921,76561198349563796,AshFxLL,https://distribution.faceit-cdn.net/images/0767e9a7-3b99-41d2-9315-abd6232dd074.jpeg,https://www.faceit.com/{lang}/players/AshFxLL,2017-08-21T15:06:51.651Z,9,1173,1832,1934,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,AshFxLL
-Eragonz-,-Eragonz-,344645a5-6be3-45f7-8d88-a1f0e7dc5a98,br,76561199020198204,Eragonz,10,2036,76561199020198204,ERAGON,https://distribution.faceit-cdn.net/images/5c5ebf52-e435-4135-a206-ab6d232a1f27.jpg,https://www.faceit.com/{lang}/players/-Eragonz-,2020-12-28T11:34:47.862Z,9,2625,1901,2256,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,-Eragonz-
dudaaaaaaaaa,dudaaaaaaaaa,cfd4e8ab-8b55-4e70-99d3-29aee35e9324,gd,76561198430586159,Stewie2K / Cloud9 AcE,8,1732,76561198430586159,Stewie2K / Cloud9 AcE,https://distribution.faceit-cdn.net/images/3616a592-03f8-440c-ba03-c8342fac184a.jpg,https://www.faceit.com/{lang}/players/dudaaaaaaaaa,2018-02-11T20:21:12.832Z,10,1740,1800,2155,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,dudaaaaaaaaa
Humildera,Humildera,d7879b1e-6a76-4484-8265-2866c36679a4,pt,76561198858066994,1000de,10,2069,76561198858066994,Hummmm,https://distribution.faceit-cdn.net/images/06b8b05d-131f-4f16-9e0f-5d22bbea668b.jpg,https://www.faceit.com/{lang}/players/Humildera,2019-12-29T01:07:59.738Z,9,2383,2069,2155,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,Humildera
Jefao171,Jefao171,bf3b4d03-9d93-45ae-906f-4ea39ff3c16f,br,76561198121042356,Jefão,8,1554,76561198121042356,Jefão,https://distribution.faceit-cdn.net/images/73bce40e-f953-4a90-bbac-adc71f327ddd.jpg,https://www.faceit.com/{lang}/players/Jefao171,2020-10-31T16:01:21.064Z,8,2389,1513,1831,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,Jefao171
leoobr,leoobr,708beddb-899c-4553-9464-80f6734b9023,br,76561198107214392,✪ Lé,10,2307,76561198107214392,✪ Lé,https://assets.faceit-cdn.net/avatars/708beddb-899c-4553-9464-80f6734b9023_1629725052571.jpg,https://www.faceit.com/{lang}/players/leoobr,2016-06-26T18:58:09.822Z,10,1655,2290,2423,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,leoobr
Lpz1NNNN,Lpz1NNNN,c03727e7-04c7-4ba2-b234-31c70d44633a,br,76561199551678063,Mole doi,10,2097,76561199551678063,Mole doi,https://distribution.faceit-cdn.net/images/f39844eb-6a66-4e69-9111-4054bb4f7618.jpg,https://www.faceit.com/{lang}/players/Lpz1NNNN,2024-02-12T22:40:17.34Z,9,2583,2122,2607,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,Lpz1NNNN
Nilove2Bala,Nilove2Bala,a86d2f09-9ac3-4c78-8cc5-b8705d8e5145,pt,76561198076565994,PIX DA SILVA JR.🚂🚩,10,2248,76561198076565994,PIX DA SILVA JR.🚂🚩,https://assets.faceit-cdn.net/avatars/a86d2f09-9ac3-4c78-8cc5-b8705d8e5145_1585432591859.jpg,https://www.faceit.com/{lang}/players/Nilove2Bala,2020-01-27T02:42:11.721Z,10,1798,2248,2294,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,Nilove2Bala
bomdecama,bomdecama,271b422b-d10d-4f08-8228-97d89d6a9693,fr,76561199156477789,hero,10,2335,76561199156477789,hero,https://distribution.faceit-cdn.net/images/9bd90cd9-914b-4162-8300-8c75f8a863b6.jpg,https://www.faceit.com/{lang}/players/bomdecama,2021-09-15T10:43:43.885Z,10,3567,2317,2594,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,bomdecama
PretinQpisa,PretinQpisa,51c64cc1-5165-4469-8aaa-6dfc0a4d2eb7,it,76561198295788810,preto q pisa,10,2025,76561198295788810,Aquariano NATO,https://distribution.faceit-cdn.net/images/f811075e-4931-463f-94f0-bf4e02cc1fdd.jpg,https://www.faceit.com/{lang}/players/PretinQpisa,2020-02-21T19:39:58.076Z,10,2459,2017,2300,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
