faceit_nickname,faceit_player_id,match_id,game_id,finished_at,started_at,competition_name,match_type,game_mode,max_players,teams_size
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-4eb04718-909c-417a-89c3-513a5afceaa5,cs2,1778012255,1778010019,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-9eeb9841-8b80-43b3-9f65-265d8eec876e,cs2,1777926367,1777923463,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-783e877f-b45b-4eae-a0b4-b4dbd782e109,cs2,1777923199,1777920447,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-9849fa07-a639-4a07-bed3-7abb1ff32668,cs2,1777910260,1777907437,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-d84e9bbe-187e-4687-84d8-119621fc56dc,cs2,1777905851,1777904115,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-fc825098-2bfc-40a0-9c22-c51fa6093736,cs2,1777850629,1777848749,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-d962db5b-8d0e-4500-99a7-dd7e9f6e0534,cs2,1777848131,1777845015,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-0622c373-da8d-45d4-a4b8-fdffe6157abf,cs2,1777843768,1777841466,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-7eef2355-9a44-4951-aa29-e6dc5a4ca4d2,cs2,1777841120,1777839002,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-23d673e9-6fba-4a9f-aa9a-43d0f81c3e98,cs2,1777838701,1777837220,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-19bcaf81-32cb-49bb-aae3-71b94c0fc1f0,cs2,1777836770,1777834189,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-89d8d2a4-227e-423f-a0dd-958b0f53fec9,cs2,1777763549,1777760758,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-d1efc365-c4bf-4dee-8176-f5a160ccfb51,cs2,1777760380,1777758126,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-221a188a-9e5f-4094-a812-38f9ab0758a3,cs2,1777757451,1777755199,Europe 5v5 Queue,,5v5,10,5
